,Name,Ratings,Genres,Descriptin
14,Black Lagoon,7.9,"Action, Adventure","A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang."
15,Hellsing Ultimate,8.3,"Action, Fantasy","The vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eternal war with his vampire army."
16,Samurai chanpurû,8.6,"Action, Adventure","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
17,Hagane no renkinjutsushi,8.5,"Action, Adventure","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone."
18,Inuyasha,7.9,"Action, Adventure",A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.
19,Yu yu hakusho,8.5,"Action, Adventure","One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ..."
20,Tengen toppa gurren lagann,8.3,"Action, Adventure","Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages."
21,Serial Experiments Lain,8.1,"Drama, Horror","Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired""."
22,Ginga eiyû densetsu,9.1,"Action, Drama","Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations."
23,Mirai nikki,7.5,"Action, Drama","A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future."
24,Golden Boy: Sasurai no o-benkyô yarô,8,Comedy,"A University drop-out rides Japan on his bicycle, taking part-time jobs and trying not to take women."
25,Death Parade,7.9,"Drama, Mystery","After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim."
26,Toradora!,8,"Comedy, Drama","Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self..."
27,Mushishi,8.5,"Drama, Fantasy","Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems."
28,Rurôni Kenshin - Meiji kenkaku romantan,8.5,"Action, Adventure",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.
29,Bakemonogatari,8,"Action, Comedy","Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, revealing secrets in people he once knew."
30,Kôkaku kidôtai: Stand Alone Complex,8.5,"Action, Crime",The futuristic adventures of a female cyborg counter intelligence agent and her support team.
31,Hajime no ippo,8.8,"Action, Comedy","Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies."
32,GTO,8.5,"Comedy, Drama","About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever."
33,Kureimoa,8,"Action, Adventure","In a world rife with deadly creatures called ""youma"", a young silver eyed woman, Clare, works on behalf of an organization that trains female youma halfbreeds into warriors with the ability..."
34,Ôran kôkô hosutobu,8.2,"Comedy, Romance","A girl at a prestigious school befriends the members of a ""host club""."
35,FLCL,8.1,"Action, Comedy",Mysterious things start happening when 12-year-old Naota meets a strange woman on a Vespa wielding a big guitar.
36,Higurashi no naku koro ni,7.9,"Drama, Horror",The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.
37,Clannad,7.8,"Comedy, Drama",A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students.
38,Kidô Senshi Gundam,7.9,"Action, Drama","In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant humanoid robot, and its gifted teenage pilot."
39,Darker Than Black: Kuro no keiyakusha,7.7,"Action, Drama","In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ..."
40,Baccano!,8.2,"Action, Adventure","A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades."
41,Yojôhan shinwa taikei,8.4,"Comedy, Drama","When a nameless student at Kyoto University encounters a demigod one night, he asks to relive the past three years in order to win the heart of Ms. Akashi, the object of his affection."
42,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,8.6,"Action, Adventure","In the era of Japan's Meiji Restoration, an assassin regains his humanity."
43,N.H.K ni yôkoso!,8.3,"Comedy, Drama",This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.
44,Mononoke,8.3,"Fantasy, Horror","A mysterious man called the Medicine Seller travels along feudal Japan, uncovering and slaying evil spirits called ""Mononoke""."
45,Hokuto no Ken,8.2,"Action, Adventure","In the year 199X, human civilization has been all but destroyed by a nuclear holocaust. In an age where the strong rule over the weak, the survivors of the fallout struggle over the ..."
46,Urusei Yatsura,7.5,"Action, Adventure",The series begins when aliens from the planet Oniboshi invade Earth. They agree to leave only if Earth's champion can defeat the Oni champion in a game of tag within a ten-day time limit. ...
47,Kimi ni todoke,7.8,"Comedy, Drama","Sawako Kuronuma is misunderstood due to her resemblance to the ghost girl from The Ring. But one day the nicest boy in the class, Kazehaya befriends her and everything changed after that and also everyone perspective of Sawako but there's going to be struggle await for her up in the future."
48,Durarara!!,7.8,"Comedy, Crime","Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is full of connected mysteries where people's pasts intertwine with the present."
49,Gyakkyô burai Kaiji,8.2,"Action, Thriller","Kaiji Itou is a good-for-nothing loiterer who spends his days drinking beer and stealing hubcaps-that is, until he ends up being tricked by his former co-worker. Unable to suddenly repay ..."
50,Wolf's Rain,7.9,"Action, Adventure","In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct."
51,Shôjo kakumei Utena,8.1,"Comedy, Drama",A tomboyish schoolgirl finds herself forced into repeated duels for another girl who has a role in a world revolution.
52,Suzumiya Haruhi no Yûutsu,7.8,"Comedy, Fantasy","The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi."
53,Ranma ½,7.9,"Action, Comedy",A girl is involuntarily engaged to a boy who turns female when hit with cold water and male when hit with hot.
54,Gangureivu,7.9,"Action, Crime",Gungrave follows the story of best friends Brandon Heat and Harry MacDowell as they join and rise in the ranks of Big Daddy's Millenion crime syndicate. The story begins in the future ...
55,Mirai shônen Konan,8.8,"Adventure, Comedy","Long after a devastating war almost destroyed the entire world, a boy with superhuman strength fights to save his friends from those who seek to conquer what is left of civilization."
56,Tekunoraizu,7.6,"Drama, Sci-Fi","In a man-made underground society, descendants of a banished generation vie for control of the crumbling city of Lux. Ichise, an orphan turned prize fighter, loses a leg and an arm to ..."
57,Rupan sansei,7.9,"Action, Adventure","The adventures of the master thief Lupin III and his cohorts as they dive into various escapades, all the while in pursuit by the tenacious Inspector Zenigata."
58,Ôkami to kôshinryô,7.9,"Adventure, Fantasy","Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo."
59,Planetes,8.2,"Drama, Sci-Fi","In the year 2075, mankind has reached a point where journeying between Earth, the moon and the space stations is part of daily life. However, the progression of technology in space has also..."
60,Rainbow: Nishakubou no shichinin,8.3,"Crime, Drama","Set in 1955, the anime follows the story of seven teenagers locked in a reformatory, waiting for a ray of light in a daily hell of suffering and humiliation, focusing especially on how they faced the life once regained freedom."
61,Natsume yûjinchô,8.1,"Comedy, Drama",When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to return their names so they can be free once again.
62,Michiko to Hatchin,7.5,"Action, Adventure","Michiko is a free-willed ""sexy diva"" who escaped from prison, while Hatchin is a run away girl fleeing from her strict catholic foster family. The two join forces and set off on an unpredictable road trip seeking their own freedom."
63,Taiyô no ko Esuteban,8.7,"Adventure, Comedy",A trio of kids must search throughout 16th Century South America for personal answers linked to the legendary El Dorado.
64,Chôjikû Yôsai Macross,8.5,"Action, Adventure",An alien spaceship crash lands on Earth and her secrets lead to a desperate war against an alien enemy sent to retrieve the ship.
65,Tenkû no Esukafurône,7.8,"Action, Adventure","Hitomi is a girl with psychic abilities who gets transported to the magical world of Gaea. She and her friends find themselves under attack from the evil Zaibach empire, and the Guymelf ..."
66,Seirei no moribito,8.2,"Action, Adventure",The Second Empress hires a spear-wielding woman to save her son from the Mikado (emperor) who believes the young prince is possessed by a water demon foretold to bring a terrible drought upon the land should he live.
67,XXXHOLiC,7.6,"Comedy, Drama","Kimihiro Watanuki, a high-schooler, is troubled by monsters and spirits who are magically attracted to him. However, nobody else can see them but him. One day, Watanuki stumbles into a shop..."
68,Sureiyâzu,7.5,"Action, Adventure",The adventures of a teenage sorceress and her companions as they quest for gold and glory (especially gold).
69,12 kokuki,8,"Adventure, Drama",High school student Youko Nakajima is approached by a strange man who claims he's been searching for her and that she is the rightful ruler of his kingdom.
70,Blood+,7.6,"Action, Adventure","In present day Okinawa, a young amnesiac girl named Saya combats vicious, shape-shifting vampires. Her adoptive family and friends help her track down their source and uncover her past."
71,Phantom: Requiem for the Phantom,7.6,"Action, Crime","The story of two brainwashed assassins, Ein and Zwei, who struggle to regain their memories as they work for the Inferno crime syndicate."
72,Ashita no Jô,8.3,"Action, Drama","Tange is a frustrated fighter with poorly life, he loses his eyesight and also his disciple.Passing by a town one day he meets Joe Yabuki, a brawler,lier and deceived person which he saw in..."
73,Chobits,7.3,"Comedy, Drama","Hideki finds the discarded and malfunctioning Persocom Chi, a personal computer that looks like a girl. While trying to fix and care for Chi, Hideki discovers that she might be a Chobits, a robot of urban legend that has free will."
74,Haibane Renmei,8,"Drama, Fantasy","A young girl is reborn as an angel-like creature called a haibane, with no memory of who she once was."
75,City Hunter,7.8,"Action, Comedy","The adventures of Ryo Saeba, a gun-for-hire living in the Tokyo metropolis, who will take on any dangerous job as long as it involves beautiful women."
76,"Ima, soko ni iru boku",7.9,"Action, Adventure","A Japanese boy named Shu tries to save a strange girl, Lala Ru, from kidnappers and is transported to an alternate Earth on the brink of being swallowed by the sun. There he meets an ..."
77,Berusaiyu no bara,8.4,"Drama, Romance","The story of Lady Oscar, a female military commander who served during the time of the French Revolution."
78,Usagi doroppu,8.3,"Comedy, Drama",A man adopts his six-year-old aunt and raises her as his own kid.
79,Kaiba,8.1,"Adventure, Drama","In a futuristic dystopian world where memories are literally stored, bought and sold and rich have all the privileges, a young amnesiac is trying to find out who he is."
80,Akage no An,7.7,"Drama, Family","Based on the books by Lucy Maud Montgomery, this 50 episode series tells the story of Anne Shirley, a young orphan living in 19th century Canada."
81,Kôkyô shihen Eureka Sebun,7.8,"Adventure, Drama","14-year-old Renton joins the rebel GekkoState ship, co-pilots the TypeZero with the mysterious Eureka, and unknowingly becomes part of a grand scheme."
82,Gankutsu-ô,7.9,"Drama, Mystery","Trying to escape his uneventful life, Albert, the son of a renowned general from Paris, makes a journey with his friend Franz. During his travels, he meets an immensely wealthy nobleman ..."
83,Kimagure orenji rôdo,7.7,"Comedy, Drama","Kyousuke Kasuga is a completely normal Japanese high school student, with two very big problems. The first is his complete and utter inability to choose between two girls, the bright, ..."
84,Romio no aoi sora,8.6,"Drama, Family",The adventures of a young Swiss boy working as a chimney sweeper in Milan.
85,Mezon Ikkoku,8.2,"Comedy, Drama",The misadventures of a young student and his landlady's romance.
86,School Rumble,7.8,"Comedy, Romance",A young high schooler is in love with an oblivious classmate; a delinquent classmate is in love with her. Both struggle to confess their feelings and their antics lead to crazy situations.
87,Takarajima,8.4,"Action, Adventure","Jim Hawkins, a thirteen-year-old boy in the eighteenth century, runs the Admiral Benbow Inn with his mother since his father died. The plots starts when a drunken sailor decides to stay in the hotel."
88,Katanagatari,7.8,"Action, Adventure","Kyotoryuu, is the legendary fencing school. However, instead of a sword, it uses one's hands and legs as weapons. Shichika and his sister Nanami are the sole remaining descendants of the ..."
89,Uchû kaizoku kyaputen Hârokku,7.8,"Action, Adventure","In 2977, mankind has space colonies, machines do all the work and everyone just wants to have fun. When deadly plant-based aliens that look like women attack the Earth in order to colonize it, only one rogue captain can stop them."
90,Purinsesu Chuchu,8.1,"Adventure, Comedy",A duck turned girl with magical powers must help save a prince from an unfinished fairy tale.
91,Rittai anime ie naki ko Remi,7.8,"Drama, Family",A compelling story in which orphaned Remi gets hired out to a traveling street entertainer Vitalis when her foster parents fall on hard times.
92,Re mizeraburu: shoujo kozetto,7.9,"Drama, Family","The classic novel by Victor Hugo returns to the world of Japanese anime in Nippon Animation's 52-episode adaptation ""Les Misérables: Shoujo Cosette"". The plot shifts its focus to include ..."
93,Musekinin kanchô Tairâ,7.7,"Adventure, Comedy","The adventures of a space navy captain who is either an incredibly lucky idiot, or an unorthodox genius in tactics."
94,Nodame kantâbire,8.2,"Comedy, Drama","Chiaki is a first class musician whose dream is to play among the elites in Europe.He is an infamous perfectionist, not only is he highly critical of himself, but of others as well. But his..."
95,Koi kaze,7.5,"Drama, Romance","Koshiro and Nanoka fall deeply in love, then discover they are the children of their divorced estranged parents... making them brother and sister. How will their relationship turn out?"
96,Ef: A Tale of Memories.,7.5,"Comedy, Drama","A story of love, heartbreak and youth, as the stories of 6 different characters, which seem initially unrelated, begin to intertwine."
97,Sayonara zetsubô sensei,7.6,"Comedy, Drama",A pessimistic high school teacher must somehow manage a class of eccentric students.
98,Kaleido Star,7.8,"Comedy, Drama","Sora, a young girl from Japan, comes to America in search of her dream. She wants, with all her heart, to be a member of the famous Kaleido Stage, a combination of musicals, acrobatics and ..."
99,Seikai no monshô,7.6,"Action, Drama",Jinto is a polite young man whose world was overrun by the biggest empire in the galaxy canned the Abh Empire. He meets the lovely Lafiel who he befriends.
